,uniform_id,trialid,sentnum,ianum,ia,firstfix_dur,firstrun_dur,dur,firstrun_nfix,nfix
547364,en_39,1.0,1.0,1.0,In,15.0,15.0,15.0,1.0,1.0
547365,en_39,1.0,1.0,2.0,ancient,59.0,83.0,993.0,2.0,6.0
547366,en_39,1.0,1.0,3.0,Roman,274.0,274.0,525.0,1.0,3.0
547367,en_39,1.0,1.0,4.0,religion,121.0,121.0,557.0,1.0,4.0
547368,en_39,1.0,1.0,5.0,and,137.0,137.0,312.0,1.0,2.0
547369,en_39,1.0,1.0,6.0,"myth,",266.0,266.0,550.0,1.0,2.0
547370,en_39,1.0,1.0,7.0,Janus,269.0,269.0,871.0,1.0,4.0
547371,en_39,1.0,1.0,8.0,is,152.0,152.0,152.0,1.0,1.0
547372,en_39,1.0,1.0,9.0,the,186.0,186.0,186.0,1.0,1.0
547373,en_39,1.0,1.0,10.0,god,344.0,594.0,1162.0,2.0,5.0
547374,en_39,1.0,1.0,11.0,of,0.0,0.0,0.0,0.0,0.0
547375,en_39,1.0,1.0,12.0,beginnings,139.0,262.0,786.0,2.0,5.0
547376,en_39,1.0,1.0,13.0,and,418.0,418.0,573.0,1.0,2.0
547377,en_39,1.0,1.0,14.0,gates.,275.0,275.0,275.0,1.0,1.0
547378,en_39,1.0,2.0,15.0,He,281.0,281.0,281.0,1.0,1.0
547379,en_39,1.0,2.0,16.0,has,205.0,205.0,205.0,1.0,1.0
547380,en_39,1.0,2.0,17.0,a,0.0,0.0,0.0,0.0,0.0
547381,en_39,1.0,2.0,18.0,double,0.0,0.0,0.0,0.0,0.0
547382,en_39,1.0,2.0,19.0,nature,0.0,0.0,0.0,0.0,0.0
547383,en_39,1.0,2.0,20.0,and,73.0,73.0,73.0,1.0,1.0
547384,en_39,1.0,2.0,21.0,is,115.0,115.0,115.0,1.0,1.0
547385,en_39,1.0,2.0,22.0,usually,68.0,267.0,462.0,2.0,3.0
547386,en_39,1.0,2.0,23.0,depicted,38.0,38.0,563.0,1.0,4.0
547387,en_39,1.0,2.0,24.0,as,365.0,365.0,365.0,1.0,1.0
547388,en_39,1.0,2.0,25.0,having,139.0,313.0,779.0,2.0,5.0
547389,en_39,1.0,2.0,26.0,two,136.0,136.0,136.0,1.0,1.0
547390,en_39,1.0,2.0,27.0,"faces,",135.0,135.0,135.0,1.0,1.0
547391,en_39,1.0,2.0,28.0,since,204.0,299.0,450.0,2.0,3.0
547392,en_39,1.0,2.0,29.0,he,211.0,211.0,619.0,1.0,3.0
547393,en_39,1.0,2.0,30.0,looks,0.0,0.0,0.0,0.0,0.0
547394,en_39,1.0,2.0,31.0,to,154.0,154.0,177.0,1.0,2.0
547395,en_39,1.0,2.0,32.0,the,164.0,164.0,557.0,1.0,5.0
547396,en_39,1.0,2.0,33.0,future,82.0,141.0,848.0,2.0,8.0
547397,en_39,1.0,2.0,34.0,and,182.0,182.0,696.0,1.0,5.0
