,uniform_id,trialid,sentnum,ianum,ia,firstfix_dur,firstrun_dur,dur,firstrun_nfix,nfix
596377,en_95,1.0,1.0,1.0,In,59.0,59.0,59.0,1.0,1.0
596378,en_95,1.0,1.0,2.0,ancient,153.0,255.0,398.0,2.0,3.0
596379,en_95,1.0,1.0,3.0,Roman,66.0,66.0,303.0,1.0,2.0
596380,en_95,1.0,1.0,4.0,religion,100.0,228.0,357.0,2.0,3.0
596381,en_95,1.0,1.0,5.0,and,188.0,188.0,188.0,1.0,1.0
596382,en_95,1.0,1.0,6.0,"myth,",221.0,221.0,221.0,1.0,1.0
596383,en_95,1.0,1.0,7.0,Janus,164.0,164.0,319.0,1.0,2.0
596384,en_95,1.0,1.0,8.0,is,138.0,138.0,138.0,1.0,1.0
596385,en_95,1.0,1.0,9.0,the,184.0,184.0,230.0,1.0,2.0
596386,en_95,1.0,1.0,10.0,god,127.0,127.0,250.0,1.0,2.0
596387,en_95,1.0,1.0,11.0,of,174.0,383.0,383.0,2.0,2.0
596388,en_95,1.0,1.0,12.0,beginnings,239.0,384.0,1038.0,2.0,6.0
596389,en_95,1.0,1.0,13.0,and,0.0,0.0,0.0,0.0,0.0
596390,en_95,1.0,1.0,14.0,gates.,147.0,147.0,491.0,1.0,3.0
596391,en_95,1.0,2.0,15.0,He,153.0,153.0,153.0,1.0,1.0
596392,en_95,1.0,2.0,16.0,has,176.0,176.0,371.0,1.0,2.0
596393,en_95,1.0,2.0,17.0,a,0.0,0.0,0.0,0.0,0.0
596394,en_95,1.0,2.0,18.0,double,135.0,332.0,482.0,2.0,3.0
596395,en_95,1.0,2.0,19.0,nature,0.0,0.0,0.0,0.0,0.0
596396,en_95,1.0,2.0,20.0,and,254.0,254.0,254.0,1.0,1.0
596397,en_95,1.0,2.0,21.0,is,124.0,124.0,124.0,1.0,1.0
596398,en_95,1.0,2.0,22.0,usually,145.0,145.0,344.0,1.0,2.0
596399,en_95,1.0,2.0,23.0,depicted,119.0,119.0,483.0,1.0,3.0
596400,en_95,1.0,2.0,24.0,as,147.0,147.0,305.0,1.0,2.0
596401,en_95,1.0,2.0,25.0,having,133.0,133.0,293.0,1.0,2.0
596402,en_95,1.0,2.0,26.0,two,224.0,224.0,361.0,1.0,2.0
596403,en_95,1.0,2.0,27.0,"faces,",139.0,473.0,473.0,3.0,3.0
596404,en_95,1.0,2.0,28.0,since,147.0,394.0,394.0,2.0,2.0
596405,en_95,1.0,2.0,29.0,he,159.0,159.0,159.0,1.0,1.0
596406,en_95,1.0,2.0,30.0,looks,0.0,0.0,0.0,0.0,0.0
596407,en_95,1.0,2.0,31.0,to,142.0,142.0,142.0,1.0,1.0
596408,en_95,1.0,2.0,32.0,the,0.0,0.0,0.0,0.0,0.0
596409,en_95,1.0,2.0,33.0,future,179.0,179.0,179.0,1.0,1.0
596410,en_95,1.0,2.0,34.0,and,161.0,161.0,161.0,1.0,1.0
596411,en_95,1.0,2.0,35.0,to,0.0,0.0,0.0,0.0,0.0
596412,en_95,1.0,2.0,36.0,the,265.0,265.0,265.0,1.0,1.0
596413,en_95,1.0,2.0,37.0,past.,127.0,127.0,127.0,1.0,1.0
596414,en_95,1.0,3.0,38.0,Janus,194.0,194.0,574.0,1.0,3.0
596415,en_95,1.0,3.0,39.0,presided,188.0,582.0,909.0,2.0,4.0
596416,en_95,1.0,3.0,40.0,over,142.0,142.0,278.0,1.0,3.0
596417,en_95,1.0,3.0,41.0,the,0.0,0.0,0.0,0.0,0.0
596418,en_95,1.0,3.0,42.0,beginning,326.0,326.0,582.0,1.0,3.0
596419,en_95,1.0,3.0,43.0,and,137.0,137.0,137.0,1.0,1.0
596420,en_95,1.0,3.0,44.0,ending,207.0,351.0,351.0,2.0,2.0
596421,en_95,1.0,3.0,45.0,of,140.0,140.0,140.0,1.0,1.0
596422,en_95,1.0,3.0,46.0,"conflict,",136.0,136.0,291.0,1.0,2.0
596423,en_95,1.0,3.0,47.0,and,0.0,0.0,0.0,0.0,0.0
596424,en_95,1.0,3.0,48.0,hence,170.0,316.0,502.0,2.0,3.0
596425,en_95,1.0,3.0,49.0,war,175.0,175.0,428.0,1.0,2.0
596426,en_95,1.0,3.0,50.0,and,92.0,92.0,92.0,1.0,1.0
596427,en_95,1.0,3.0,51.0,peace.,258.0,258.0,258.0,1.0,1.0
596428,en_95,1.0,4.0,52.0,The,160.0,160.0,160.0,1.0,1.0
596429,en_95,1.0,4.0,53.0,doors,163.0,163.0,1137.0,1.0,5.0
596430,en_95,1.0,4.0,54.0,of,162.0,162.0,306.0,1.0,2.0
596431,en_95,1.0,4.0,55.0,his,221.0,221.0,1230.0,1.0,6.0
596432,en_95,1.0,4.0,56.0,temple,152.0,152.0,604.0,1.0,3.0
596433,en_95,1.0,4.0,57.0,were,112.0,112.0,661.0,1.0,4.0
596434,en_95,1.0,4.0,58.0,open,259.0,259.0,954.0,1.0,3.0
596435,en_95,1.0,4.0,59.0,in,64.0,64.0,64.0,1.0,1.0
596436,en_95,1.0,4.0,60.0,times,307.0,307.0,630.0,1.0,3.0
596437,en_95,1.0,4.0,61.0,of,146.0,146.0,146.0,1.0,1.0
596438,en_95,1.0,4.0,62.0,war,163.0,163.0,220.0,1.0,2.0
596439,en_95,1.0,4.0,63.0,and,0.0,0.0,0.0,0.0,0.0
596440,en_95,1.0,4.0,64.0,closed,139.0,139.0,139.0,1.0,1.0
596441,en_95,1.0,4.0,65.0,during,192.0,192.0,349.0,1.0,2.0
596442,en_95,1.0,4.0,66.0,peacetime.,142.0,142.0,502.0,1.0,3.0
596443,en_95,1.0,5.0,67.0,As,320.0,320.0,320.0,1.0,1.0
596444,en_95,1.0,5.0,68.0,the,351.0,351.0,451.0,1.0,2.0
596445,en_95,1.0,5.0,69.0,god,156.0,156.0,307.0,1.0,2.0
596446,en_95,1.0,5.0,70.0,of,123.0,123.0,123.0,1.0,1.0
596447,en_95,1.0,5.0,71.0,"gates,",80.0,80.0,250.0,1.0,2.0
596448,en_95,1.0,5.0,72.0,he,0.0,0.0,0.0,0.0,0.0
596449,en_95,1.0,5.0,73.0,was,181.0,181.0,375.0,1.0,2.0
596450,en_95,1.0,5.0,74.0,also,145.0,145.0,145.0,1.0,1.0
596451,en_95,1.0,5.0,75.0,associated,177.0,177.0,177.0,1.0,1.0
596452,en_95,1.0,5.0,76.0,with,0.0,0.0,0.0,0.0,0.0
596453,en_95,1.0,5.0,77.0,entering,241.0,396.0,396.0,2.0,2.0
596454,en_95,1.0,5.0,78.0,and,0.0,0.0,0.0,0.0,0.0
596455,en_95,1.0,5.0,79.0,exiting,198.0,310.0,466.0,2.0,3.0
596456,en_95,1.0,5.0,80.0,the,60.0,60.0,60.0,1.0,1.0
596457,en_95,1.0,5.0,81.0,doors,178.0,178.0,329.0,1.0,2.0
596458,en_95,1.0,5.0,82.0,of,0.0,0.0,0.0,0.0,0.0
596459,en_95,1.0,5.0,83.0,homes.,110.0,110.0,480.0,1.0,3.0
596460,en_95,1.0,6.0,84.0,Janus,379.0,379.0,379.0,1.0,1.0
596461,en_95,1.0,6.0,85.0,frequently,184.0,184.0,184.0,1.0,1.0
596462,en_95,1.0,6.0,86.0,symbolized,260.0,260.0,260.0,1.0,1.0
596463,en_95,1.0,6.0,87.0,change,175.0,175.0,352.0,1.0,2.0
596464,en_95,1.0,6.0,88.0,and,0.0,0.0,0.0,0.0,0.0
596465,en_95,1.0,6.0,89.0,"transitions,",279.0,279.0,484.0,1.0,2.0
596466,en_95,1.0,6.0,90.0,such,191.0,191.0,191.0,1.0,1.0
596467,en_95,1.0,6.0,91.0,as,131.0,131.0,131.0,1.0,1.0
596468,en_95,1.0,6.0,92.0,the,0.0,0.0,0.0,0.0,0.0
596469,en_95,1.0,6.0,93.0,progress,153.0,153.0,153.0,1.0,1.0
596470,en_95,1.0,6.0,94.0,from,0.0,0.0,0.0,0.0,0.0
596471,en_95,1.0,6.0,95.0,one,232.0,232.0,232.0,1.0,1.0
596472,en_95,1.0,6.0,96.0,condition,154.0,154.0,289.0,1.0,2.0
596473,en_95,1.0,6.0,97.0,to,0.0,0.0,0.0,0.0,0.0
