,uniform_id,trialid,sentnum,ianum,ia,firstfix_dur,firstrun_dur,dur,firstrun_nfix,nfix
590053,en_91,1.0,1.0,1.0,In,152.0,152.0,412.0,1.0,2.0
590054,en_91,1.0,1.0,2.0,ancient,172.0,469.0,1191.0,2.0,5.0
590055,en_91,1.0,1.0,3.0,Roman,176.0,320.0,1210.0,2.0,7.0
590056,en_91,1.0,1.0,4.0,religion,249.0,393.0,1624.0,2.0,6.0
590057,en_91,1.0,1.0,5.0,and,345.0,494.0,494.0,2.0,2.0
590058,en_91,1.0,1.0,6.0,"myth,",177.0,177.0,384.0,1.0,2.0
590059,en_91,1.0,1.0,7.0,Janus,259.0,333.0,773.0,2.0,4.0
590060,en_91,1.0,1.0,8.0,is,156.0,156.0,156.0,1.0,1.0
590061,en_91,1.0,1.0,9.0,the,0.0,0.0,0.0,0.0,0.0
590062,en_91,1.0,1.0,10.0,god,237.0,237.0,237.0,1.0,1.0
590063,en_91,1.0,1.0,11.0,of,155.0,155.0,155.0,1.0,1.0
590064,en_91,1.0,1.0,12.0,beginnings,291.0,960.0,960.0,5.0,5.0
590065,en_91,1.0,1.0,13.0,and,300.0,438.0,438.0,2.0,2.0
590066,en_91,1.0,1.0,14.0,gates.,0.0,0.0,0.0,0.0,0.0
590067,en_91,1.0,2.0,15.0,He,385.0,385.0,385.0,1.0,1.0
590068,en_91,1.0,2.0,16.0,has,0.0,0.0,0.0,0.0,0.0
590069,en_91,1.0,2.0,17.0,a,0.0,0.0,0.0,0.0,0.0
590070,en_91,1.0,2.0,18.0,double,0.0,0.0,0.0,0.0,0.0
590071,en_91,1.0,2.0,19.0,nature,126.0,126.0,126.0,1.0,1.0
590072,en_91,1.0,2.0,20.0,and,0.0,0.0,0.0,0.0,0.0
590073,en_91,1.0,2.0,21.0,is,56.0,165.0,165.0,3.0,3.0
590074,en_91,1.0,2.0,22.0,usually,159.0,299.0,299.0,2.0,2.0
590075,en_91,1.0,2.0,23.0,depicted,96.0,96.0,586.0,1.0,3.0
590076,en_91,1.0,2.0,24.0,as,261.0,261.0,261.0,1.0,1.0
590077,en_91,1.0,2.0,25.0,having,175.0,175.0,175.0,1.0,1.0
590078,en_91,1.0,2.0,26.0,two,80.0,80.0,80.0,1.0,1.0
590079,en_91,1.0,2.0,27.0,"faces,",218.0,218.0,218.0,1.0,1.0
590080,en_91,1.0,2.0,28.0,since,174.0,408.0,1923.0,2.0,5.0
590081,en_91,1.0,2.0,29.0,he,0.0,0.0,0.0,0.0,0.0
590082,en_91,1.0,2.0,30.0,looks,332.0,485.0,743.0,2.0,3.0
590083,en_91,1.0,2.0,31.0,to,148.0,148.0,327.0,1.0,2.0
590084,en_91,1.0,2.0,32.0,the,241.0,346.0,577.0,2.0,3.0
590085,en_91,1.0,2.0,33.0,future,210.0,210.0,702.0,1.0,5.0
590086,en_91,1.0,2.0,34.0,and,116.0,290.0,444.0,2.0,3.0
590087,en_91,1.0,2.0,35.0,to,187.0,187.0,857.0,1.0,4.0
590088,en_91,1.0,2.0,36.0,the,226.0,226.0,226.0,1.0,1.0
590089,en_91,1.0,2.0,37.0,past.,0.0,0.0,0.0,0.0,0.0
590090,en_91,1.0,3.0,38.0,Janus,242.0,431.0,1089.0,2.0,5.0
590091,en_91,1.0,3.0,39.0,presided,269.0,269.0,269.0,1.0,1.0
590092,en_91,1.0,3.0,40.0,over,0.0,0.0,0.0,0.0,0.0
590093,en_91,1.0,3.0,41.0,the,0.0,0.0,0.0,0.0,0.0
590094,en_91,1.0,3.0,42.0,beginning,109.0,464.0,464.0,3.0,3.0
590095,en_91,1.0,3.0,43.0,and,246.0,246.0,246.0,1.0,1.0
