,uniform_id,trialid,sentnum,ianum,ia,firstfix_dur,firstrun_dur,dur,firstrun_nfix,nfix
571081,en_82,1.0,1.0,1.0,In,0.0,0.0,0.0,0.0,0.0
571082,en_82,1.0,1.0,2.0,ancient,167.0,526.0,1700.0,3.0,8.0
571083,en_82,1.0,1.0,3.0,Roman,182.0,820.0,1109.0,2.0,3.0
571084,en_82,1.0,1.0,4.0,religion,224.0,453.0,1025.0,2.0,4.0
571085,en_82,1.0,1.0,5.0,and,219.0,219.0,373.0,1.0,2.0
571086,en_82,1.0,1.0,6.0,"myth,",188.0,188.0,422.0,1.0,2.0
571087,en_82,1.0,1.0,7.0,Janus,200.0,200.0,797.0,1.0,4.0
571088,en_82,1.0,1.0,8.0,is,222.0,222.0,222.0,1.0,1.0
571089,en_82,1.0,1.0,9.0,the,178.0,178.0,407.0,1.0,2.0
571090,en_82,1.0,1.0,10.0,god,179.0,390.0,713.0,2.0,3.0
571091,en_82,1.0,1.0,11.0,of,170.0,170.0,170.0,1.0,1.0
571092,en_82,1.0,1.0,12.0,beginnings,279.0,279.0,861.0,1.0,3.0
571093,en_82,1.0,1.0,13.0,and,0.0,0.0,0.0,0.0,0.0
571094,en_82,1.0,1.0,14.0,gates.,190.0,334.0,843.0,2.0,4.0
571095,en_82,1.0,2.0,15.0,He,0.0,0.0,0.0,0.0,0.0
571096,en_82,1.0,2.0,16.0,has,277.0,277.0,460.0,1.0,2.0
571097,en_82,1.0,2.0,17.0,a,0.0,0.0,0.0,0.0,0.0
571098,en_82,1.0,2.0,18.0,double,211.0,428.0,428.0,2.0,2.0
571099,en_82,1.0,2.0,19.0,nature,194.0,194.0,194.0,1.0,1.0
571100,en_82,1.0,2.0,20.0,and,0.0,0.0,0.0,0.0,0.0
571101,en_82,1.0,2.0,21.0,is,152.0,152.0,152.0,1.0,1.0
571102,en_82,1.0,2.0,22.0,usually,362.0,362.0,362.0,1.0,1.0
571103,en_82,1.0,2.0,23.0,depicted,133.0,133.0,372.0,1.0,2.0
571104,en_82,1.0,2.0,24.0,as,146.0,146.0,146.0,1.0,1.0
571105,en_82,1.0,2.0,25.0,having,187.0,363.0,363.0,2.0,2.0
571106,en_82,1.0,2.0,26.0,two,0.0,0.0,0.0,0.0,0.0
571107,en_82,1.0,2.0,27.0,"faces,",164.0,303.0,303.0,2.0,2.0
571108,en_82,1.0,2.0,28.0,since,270.0,270.0,270.0,1.0,1.0
571109,en_82,1.0,2.0,29.0,he,0.0,0.0,0.0,0.0,0.0
571110,en_82,1.0,2.0,30.0,looks,251.0,251.0,251.0,1.0,1.0
571111,en_82,1.0,2.0,31.0,to,214.0,214.0,214.0,1.0,1.0
571112,en_82,1.0,2.0,32.0,the,201.0,201.0,201.0,1.0,1.0
571113,en_82,1.0,2.0,33.0,future,231.0,231.0,231.0,1.0,1.0
571114,en_82,1.0,2.0,34.0,and,0.0,0.0,0.0,0.0,0.0
571115,en_82,1.0,2.0,35.0,to,213.0,213.0,213.0,1.0,1.0
571116,en_82,1.0,2.0,36.0,the,178.0,178.0,178.0,1.0,1.0
571117,en_82,1.0,2.0,37.0,past.,0.0,0.0,0.0,0.0,0.0
571118,en_82,1.0,3.0,38.0,Janus,619.0,619.0,619.0,1.0,1.0
571119,en_82,1.0,3.0,39.0,presided,322.0,322.0,322.0,1.0,1.0
571120,en_82,1.0,3.0,40.0,over,239.0,415.0,415.0,2.0,2.0
571121,en_82,1.0,3.0,41.0,the,0.0,0.0,0.0,0.0,0.0
571122,en_82,1.0,3.0,42.0,beginning,275.0,275.0,275.0,1.0,1.0
571123,en_82,1.0,3.0,43.0,and,143.0,143.0,143.0,1.0,1.0
571124,en_82,1.0,3.0,44.0,ending,206.0,347.0,347.0,2.0,2.0
571125,en_82,1.0,3.0,45.0,of,0.0,0.0,0.0,0.0,0.0
571126,en_82,1.0,3.0,46.0,"conflict,",218.0,392.0,392.0,2.0,2.0
571127,en_82,1.0,3.0,47.0,and,154.0,154.0,154.0,1.0,1.0
571128,en_82,1.0,3.0,48.0,hence,229.0,229.0,229.0,1.0,1.0
571129,en_82,1.0,3.0,49.0,war,255.0,255.0,255.0,1.0,1.0
571130,en_82,1.0,3.0,50.0,and,166.0,166.0,166.0,1.0,1.0
571131,en_82,1.0,3.0,51.0,peace.,132.0,132.0,132.0,1.0,1.0
571132,en_82,1.0,4.0,52.0,The,0.0,0.0,0.0,0.0,0.0
571133,en_82,1.0,4.0,53.0,doors,224.0,224.0,224.0,1.0,1.0
571134,en_82,1.0,4.0,54.0,of,0.0,0.0,0.0,0.0,0.0
571135,en_82,1.0,4.0,55.0,his,277.0,277.0,277.0,1.0,1.0
571136,en_82,1.0,4.0,56.0,temple,164.0,164.0,164.0,1.0,1.0
571137,en_82,1.0,4.0,57.0,were,0.0,0.0,0.0,0.0,0.0
571138,en_82,1.0,4.0,58.0,open,231.0,231.0,231.0,1.0,1.0
571139,en_82,1.0,4.0,59.0,in,700.0,700.0,700.0,1.0,1.0
571140,en_82,1.0,4.0,60.0,times,167.0,167.0,167.0,1.0,1.0
571141,en_82,1.0,4.0,61.0,of,0.0,0.0,0.0,0.0,0.0
571142,en_82,1.0,4.0,62.0,war,143.0,143.0,143.0,1.0,1.0
571143,en_82,1.0,4.0,63.0,and,0.0,0.0,0.0,0.0,0.0
571144,en_82,1.0,4.0,64.0,closed,347.0,505.0,505.0,2.0,2.0
571145,en_82,1.0,4.0,65.0,during,160.0,338.0,338.0,2.0,2.0
571146,en_82,1.0,4.0,66.0,peacetime.,135.0,135.0,381.0,1.0,2.0
571147,en_82,1.0,5.0,67.0,As,0.0,0.0,0.0,0.0,0.0
571148,en_82,1.0,5.0,68.0,the,264.0,448.0,448.0,2.0,2.0
571149,en_82,1.0,5.0,69.0,god,272.0,272.0,272.0,1.0,1.0
571150,en_82,1.0,5.0,70.0,of,217.0,217.0,433.0,1.0,2.0
571151,en_82,1.0,5.0,71.0,"gates,",192.0,192.0,192.0,1.0,1.0
571152,en_82,1.0,5.0,72.0,he,0.0,0.0,0.0,0.0,0.0
571153,en_82,1.0,5.0,73.0,was,190.0,190.0,190.0,1.0,1.0
571154,en_82,1.0,5.0,74.0,also,671.0,671.0,671.0,1.0,1.0
571155,en_82,1.0,5.0,75.0,associated,264.0,425.0,425.0,2.0,2.0
571156,en_82,1.0,5.0,76.0,with,201.0,201.0,201.0,1.0,1.0
571157,en_82,1.0,5.0,77.0,entering,221.0,221.0,221.0,1.0,1.0
571158,en_82,1.0,5.0,78.0,and,0.0,0.0,0.0,0.0,0.0
571159,en_82,1.0,5.0,79.0,exiting,218.0,218.0,218.0,1.0,1.0
571160,en_82,1.0,5.0,80.0,the,0.0,0.0,0.0,0.0,0.0
571161,en_82,1.0,5.0,81.0,doors,300.0,300.0,300.0,1.0,1.0
571162,en_82,1.0,5.0,82.0,of,0.0,0.0,0.0,0.0,0.0
571163,en_82,1.0,5.0,83.0,homes.,141.0,141.0,612.0,1.0,3.0
571164,en_82,1.0,6.0,84.0,Janus,460.0,460.0,460.0,1.0,1.0
571165,en_82,1.0,6.0,85.0,frequently,162.0,162.0,162.0,1.0,1.0
571166,en_82,1.0,6.0,86.0,symbolized,284.0,547.0,547.0,2.0,2.0
571167,en_82,1.0,6.0,87.0,change,253.0,253.0,253.0,1.0,1.0
571168,en_82,1.0,6.0,88.0,and,0.0,0.0,0.0,0.0,0.0
571169,en_82,1.0,6.0,89.0,"transitions,",237.0,430.0,430.0,2.0,2.0
571170,en_82,1.0,6.0,90.0,such,276.0,276.0,276.0,1.0,1.0
571171,en_82,1.0,6.0,91.0,as,0.0,0.0,0.0,0.0,0.0
571172,en_82,1.0,6.0,92.0,the,230.0,230.0,230.0,1.0,1.0
571173,en_82,1.0,6.0,93.0,progress,230.0,376.0,376.0,2.0,2.0
571174,en_82,1.0,6.0,94.0,from,0.0,0.0,0.0,0.0,0.0
571175,en_82,1.0,6.0,95.0,one,242.0,242.0,242.0,1.0,1.0
571176,en_82,1.0,6.0,96.0,condition,167.0,255.0,255.0,2.0,2.0
571177,en_82,1.0,6.0,97.0,to,0.0,0.0,0.0,0.0,0.0
571178,en_82,1.0,6.0,98.0,"another,",264.0,264.0,264.0,1.0,1.0
571179,en_82,1.0,6.0,99.0,from,127.0,127.0,340.0,1.0,2.0
571180,en_82,1.0,6.0,100.0,one,0.0,0.0,0.0,0.0,0.0
571181,en_82,1.0,6.0,101.0,vision,226.0,377.0,377.0,2.0,2.0
571182,en_82,1.0,6.0,102.0,to,0.0,0.0,0.0,0.0,0.0
571183,en_82,1.0,6.0,103.0,"another,",187.0,187.0,187.0,1.0,1.0
571184,en_82,1.0,6.0,104.0,and,179.0,179.0,179.0,1.0,1.0
571185,en_82,1.0,6.0,105.0,the,0.0,0.0,0.0,0.0,0.0
571186,en_82,1.0,6.0,106.0,growth,287.0,445.0,445.0,2.0,2.0
571187,en_82,1.0,6.0,107.0,of,0.0,0.0,0.0,0.0,0.0
571188,en_82,1.0,6.0,108.0,young,209.0,209.0,209.0,1.0,1.0
571189,en_82,1.0,6.0,109.0,people,195.0,195.0,195.0,1.0,1.0
571190,en_82,1.0,6.0,110.0,into,0.0,0.0,0.0,0.0,0.0
571191,en_82,1.0,6.0,111.0,adulthood.,223.0,423.0,423.0,2.0,2.0
571192,en_82,1.0,7.0,112.0,"Hence,",211.0,211.0,211.0,1.0,1.0
571193,en_82,1.0,7.0,113.0,Janus,0.0,0.0,0.0,0.0,0.0
571194,en_82,1.0,7.0,114.0,was,324.0,324.0,324.0,1.0,1.0
571195,en_82,1.0,7.0,115.0,worshipped,118.0,118.0,118.0,1.0,1.0
571196,en_82,1.0,7.0,116.0,at,0.0,0.0,0.0,0.0,0.0
571197,en_82,1.0,7.0,117.0,the,202.0,355.0,355.0,2.0,2.0
571198,en_82,1.0,7.0,118.0,beginning,127.0,127.0,127.0,1.0,1.0
571199,en_82,1.0,7.0,119.0,of,0.0,0.0,0.0,0.0,0.0
571200,en_82,1.0,7.0,120.0,the,206.0,206.0,206.0,1.0,1.0
571201,en_82,1.0,7.0,121.0,harvest,0.0,0.0,0.0,0.0,0.0
571202,en_82,1.0,7.0,122.0,and,208.0,208.0,208.0,1.0,1.0
571203,en_82,1.0,7.0,123.0,planting,223.0,223.0,223.0,1.0,1.0
571204,en_82,1.0,7.0,124.0,"times,",166.0,166.0,166.0,1.0,1.0
571205,en_82,1.0,7.0,125.0,as,0.0,0.0,0.0,0.0,0.0
571206,en_82,1.0,7.0,126.0,well,293.0,417.0,417.0,2.0,2.0
571207,en_82,1.0,7.0,127.0,as,0.0,0.0,0.0,0.0,0.0
571208,en_82,1.0,7.0,128.0,at,325.0,325.0,325.0,1.0,1.0
571209,en_82,1.0,7.0,129.0,"marriages,",242.0,242.0,242.0,1.0,1.0
571210,en_82,1.0,7.0,130.0,"deaths,",250.0,250.0,250.0,1.0,1.0
571211,en_82,1.0,7.0,131.0,and,0.0,0.0,0.0,0.0,0.0
571212,en_82,1.0,7.0,132.0,other,191.0,191.0,191.0,1.0,1.0
571213,en_82,1.0,7.0,133.0,beginnings.,122.0,122.0,122.0,1.0,1.0
571214,en_82,1.0,8.0,134.0,Janus,413.0,413.0,413.0,1.0,1.0
571215,en_82,1.0,8.0,135.0,had,0.0,0.0,0.0,0.0,0.0
571216,en_82,1.0,8.0,136.0,no,159.0,410.0,410.0,2.0,2.0
