,uniform_id,trialid,sentnum,ianum,ia,firstfix_dur,firstrun_dur,dur,firstrun_nfix,nfix
520174,en_3,1.0,1.0,1.0,In,154.0,154.0,154.0,1.0,1.0
520175,en_3,1.0,1.0,2.0,ancient,139.0,550.0,550.0,3.0,3.0
520176,en_3,1.0,1.0,3.0,Roman,90.0,274.0,274.0,2.0,2.0
520177,en_3,1.0,1.0,4.0,religion,301.0,301.0,301.0,1.0,1.0
520178,en_3,1.0,1.0,5.0,and,270.0,270.0,542.0,1.0,2.0
520179,en_3,1.0,1.0,6.0,"myth,",117.0,117.0,242.0,1.0,2.0
520180,en_3,1.0,1.0,7.0,Janus,367.0,367.0,367.0,1.0,1.0
520181,en_3,1.0,1.0,8.0,is,162.0,162.0,162.0,1.0,1.0
520182,en_3,1.0,1.0,9.0,the,195.0,195.0,359.0,1.0,2.0
520183,en_3,1.0,1.0,10.0,god,196.0,196.0,196.0,1.0,1.0
520184,en_3,1.0,1.0,11.0,of,0.0,0.0,0.0,0.0,0.0
520185,en_3,1.0,1.0,12.0,beginnings,195.0,456.0,456.0,2.0,2.0
520186,en_3,1.0,1.0,13.0,and,0.0,0.0,0.0,0.0,0.0
520187,en_3,1.0,1.0,14.0,gates.,263.0,385.0,385.0,2.0,2.0
520188,en_3,1.0,2.0,15.0,He,308.0,308.0,308.0,1.0,1.0
520189,en_3,1.0,2.0,16.0,has,238.0,238.0,238.0,1.0,1.0
520190,en_3,1.0,2.0,17.0,a,0.0,0.0,0.0,0.0,0.0
520191,en_3,1.0,2.0,18.0,double,294.0,294.0,294.0,1.0,1.0
520192,en_3,1.0,2.0,19.0,nature,240.0,240.0,240.0,1.0,1.0
520193,en_3,1.0,2.0,20.0,and,0.0,0.0,0.0,0.0,0.0
520194,en_3,1.0,2.0,21.0,is,239.0,745.0,996.0,2.0,4.0
520195,en_3,1.0,2.0,22.0,usually,221.0,221.0,221.0,1.0,1.0
520196,en_3,1.0,2.0,23.0,depicted,109.0,109.0,301.0,1.0,2.0
520197,en_3,1.0,2.0,24.0,as,182.0,182.0,182.0,1.0,1.0
520198,en_3,1.0,2.0,25.0,having,164.0,164.0,293.0,1.0,2.0
520199,en_3,1.0,2.0,26.0,two,216.0,216.0,216.0,1.0,1.0
520200,en_3,1.0,2.0,27.0,"faces,",130.0,130.0,130.0,1.0,1.0
520201,en_3,1.0,2.0,28.0,since,266.0,266.0,266.0,1.0,1.0
520202,en_3,1.0,2.0,29.0,he,241.0,241.0,241.0,1.0,1.0
520203,en_3,1.0,2.0,30.0,looks,129.0,129.0,129.0,1.0,1.0
520204,en_3,1.0,2.0,31.0,to,0.0,0.0,0.0,0.0,0.0
520205,en_3,1.0,2.0,32.0,the,315.0,315.0,315.0,1.0,1.0
520206,en_3,1.0,2.0,33.0,future,247.0,247.0,247.0,1.0,1.0
520207,en_3,1.0,2.0,34.0,and,0.0,0.0,0.0,0.0,0.0
520208,en_3,1.0,2.0,35.0,to,237.0,237.0,237.0,1.0,1.0
520209,en_3,1.0,2.0,36.0,the,301.0,301.0,301.0,1.0,1.0
520210,en_3,1.0,2.0,37.0,past.,81.0,81.0,81.0,1.0,1.0
520211,en_3,1.0,3.0,38.0,Janus,263.0,263.0,263.0,1.0,1.0
520212,en_3,1.0,3.0,39.0,presided,419.0,708.0,708.0,3.0,3.0
520213,en_3,1.0,3.0,40.0,over,0.0,0.0,0.0,0.0,0.0
520214,en_3,1.0,3.0,41.0,the,106.0,191.0,191.0,2.0,2.0
520215,en_3,1.0,3.0,42.0,beginning,273.0,273.0,273.0,1.0,1.0
520216,en_3,1.0,3.0,43.0,and,108.0,108.0,108.0,1.0,1.0
520217,en_3,1.0,3.0,44.0,ending,288.0,288.0,288.0,1.0,1.0
520218,en_3,1.0,3.0,45.0,of,522.0,522.0,522.0,1.0,1.0
520219,en_3,1.0,3.0,46.0,"conflict,",0.0,0.0,0.0,0.0,0.0
520220,en_3,1.0,3.0,47.0,and,0.0,0.0,0.0,0.0,0.0
520221,en_3,1.0,3.0,48.0,hence,208.0,423.0,423.0,2.0,2.0
520222,en_3,1.0,3.0,49.0,war,211.0,211.0,211.0,1.0,1.0
520223,en_3,1.0,3.0,50.0,and,0.0,0.0,0.0,0.0,0.0
520224,en_3,1.0,3.0,51.0,peace.,169.0,396.0,396.0,2.0,2.0
520225,en_3,1.0,4.0,52.0,The,157.0,157.0,157.0,1.0,1.0
520226,en_3,1.0,4.0,53.0,doors,217.0,217.0,461.0,1.0,2.0
520227,en_3,1.0,4.0,54.0,of,217.0,217.0,217.0,1.0,1.0
520228,en_3,1.0,4.0,55.0,his,205.0,205.0,205.0,1.0,1.0
520229,en_3,1.0,4.0,56.0,temple,154.0,154.0,154.0,1.0,1.0
520230,en_3,1.0,4.0,57.0,were,174.0,174.0,174.0,1.0,1.0
520231,en_3,1.0,4.0,58.0,open,275.0,678.0,678.0,2.0,2.0
520232,en_3,1.0,4.0,59.0,in,0.0,0.0,0.0,0.0,0.0
520233,en_3,1.0,4.0,60.0,times,144.0,144.0,144.0,1.0,1.0
520234,en_3,1.0,4.0,61.0,of,0.0,0.0,0.0,0.0,0.0
520235,en_3,1.0,4.0,62.0,war,0.0,0.0,0.0,0.0,0.0
520236,en_3,1.0,4.0,63.0,and,0.0,0.0,0.0,0.0,0.0
520237,en_3,1.0,4.0,64.0,closed,261.0,261.0,261.0,1.0,1.0
520238,en_3,1.0,4.0,65.0,during,93.0,330.0,330.0,2.0,2.0
520239,en_3,1.0,4.0,66.0,peacetime.,440.0,887.0,887.0,3.0,3.0
520240,en_3,1.0,5.0,67.0,As,204.0,204.0,204.0,1.0,1.0
520241,en_3,1.0,5.0,68.0,the,171.0,330.0,330.0,2.0,2.0
520242,en_3,1.0,5.0,69.0,god,156.0,156.0,156.0,1.0,1.0
520243,en_3,1.0,5.0,70.0,of,182.0,182.0,182.0,1.0,1.0
520244,en_3,1.0,5.0,71.0,"gates,",155.0,155.0,155.0,1.0,1.0
520245,en_3,1.0,5.0,72.0,he,213.0,213.0,213.0,1.0,1.0
520246,en_3,1.0,5.0,73.0,was,423.0,423.0,423.0,1.0,1.0
520247,en_3,1.0,5.0,74.0,also,130.0,130.0,130.0,1.0,1.0
520248,en_3,1.0,5.0,75.0,associated,238.0,238.0,620.0,1.0,3.0
520249,en_3,1.0,5.0,76.0,with,147.0,147.0,425.0,1.0,2.0
520250,en_3,1.0,5.0,77.0,entering,232.0,442.0,1021.0,2.0,5.0
520251,en_3,1.0,5.0,78.0,and,69.0,69.0,598.0,1.0,4.0
520252,en_3,1.0,5.0,79.0,exiting,182.0,182.0,641.0,1.0,4.0
520253,en_3,1.0,5.0,80.0,the,162.0,162.0,162.0,1.0,1.0
520254,en_3,1.0,5.0,81.0,doors,340.0,340.0,340.0,1.0,1.0
520255,en_3,1.0,5.0,82.0,of,0.0,0.0,0.0,0.0,0.0
520256,en_3,1.0,5.0,83.0,homes.,107.0,107.0,491.0,1.0,2.0
520257,en_3,1.0,6.0,84.0,Janus,61.0,61.0,576.0,1.0,3.0
520258,en_3,1.0,6.0,85.0,frequently,264.0,264.0,264.0,1.0,1.0
520259,en_3,1.0,6.0,86.0,symbolized,345.0,345.0,345.0,1.0,1.0
520260,en_3,1.0,6.0,87.0,change,332.0,474.0,474.0,2.0,2.0
520261,en_3,1.0,6.0,88.0,and,0.0,0.0,0.0,0.0,0.0
520262,en_3,1.0,6.0,89.0,"transitions,",305.0,693.0,693.0,3.0,3.0
520263,en_3,1.0,6.0,90.0,such,228.0,228.0,228.0,1.0,1.0
520264,en_3,1.0,6.0,91.0,as,109.0,109.0,109.0,1.0,1.0
520265,en_3,1.0,6.0,92.0,the,214.0,214.0,214.0,1.0,1.0
520266,en_3,1.0,6.0,93.0,progress,239.0,239.0,239.0,1.0,1.0
520267,en_3,1.0,6.0,94.0,from,275.0,275.0,275.0,1.0,1.0
520268,en_3,1.0,6.0,95.0,one,0.0,0.0,0.0,0.0,0.0
520269,en_3,1.0,6.0,96.0,condition,205.0,205.0,205.0,1.0,1.0
520270,en_3,1.0,6.0,97.0,to,126.0,126.0,126.0,1.0,1.0
520271,en_3,1.0,6.0,98.0,"another,",114.0,325.0,325.0,2.0,2.0
520272,en_3,1.0,6.0,99.0,from,405.0,405.0,405.0,1.0,1.0
520273,en_3,1.0,6.0,100.0,one,249.0,249.0,249.0,1.0,1.0
520274,en_3,1.0,6.0,101.0,vision,191.0,191.0,191.0,1.0,1.0
520275,en_3,1.0,6.0,102.0,to,166.0,166.0,166.0,1.0,1.0
520276,en_3,1.0,6.0,103.0,"another,",173.0,173.0,173.0,1.0,1.0
520277,en_3,1.0,6.0,104.0,and,200.0,200.0,200.0,1.0,1.0
520278,en_3,1.0,6.0,105.0,the,281.0,281.0,281.0,1.0,1.0
520279,en_3,1.0,6.0,106.0,growth,161.0,161.0,161.0,1.0,1.0
520280,en_3,1.0,6.0,107.0,of,141.0,141.0,141.0,1.0,1.0
520281,en_3,1.0,6.0,108.0,young,355.0,355.0,355.0,1.0,1.0
520282,en_3,1.0,6.0,109.0,people,186.0,186.0,186.0,1.0,1.0
520283,en_3,1.0,6.0,110.0,into,222.0,222.0,222.0,1.0,1.0
520284,en_3,1.0,6.0,111.0,adulthood.,173.0,173.0,173.0,1.0,1.0
520285,en_3,1.0,7.0,112.0,"Hence,",337.0,337.0,337.0,1.0,1.0
520286,en_3,1.0,7.0,113.0,Janus,132.0,285.0,285.0,2.0,2.0
520287,en_3,1.0,7.0,114.0,was,0.0,0.0,0.0,0.0,0.0
520288,en_3,1.0,7.0,115.0,worshipped,164.0,245.0,245.0,2.0,2.0
520289,en_3,1.0,7.0,116.0,at,0.0,0.0,0.0,0.0,0.0
520290,en_3,1.0,7.0,117.0,the,221.0,221.0,221.0,1.0,1.0
520291,en_3,1.0,7.0,118.0,beginning,98.0,98.0,260.0,1.0,2.0
520292,en_3,1.0,7.0,119.0,of,0.0,0.0,0.0,0.0,0.0
520293,en_3,1.0,7.0,120.0,the,102.0,102.0,102.0,1.0,1.0
520294,en_3,1.0,7.0,121.0,harvest,185.0,185.0,185.0,1.0,1.0
520295,en_3,1.0,7.0,122.0,and,0.0,0.0,0.0,0.0,0.0
520296,en_3,1.0,7.0,123.0,planting,385.0,385.0,385.0,1.0,1.0
520297,en_3,1.0,7.0,124.0,"times,",280.0,280.0,280.0,1.0,1.0
520298,en_3,1.0,7.0,125.0,as,0.0,0.0,0.0,0.0,0.0
520299,en_3,1.0,7.0,126.0,well,423.0,423.0,423.0,1.0,1.0
520300,en_3,1.0,7.0,127.0,as,0.0,0.0,0.0,0.0,0.0
520301,en_3,1.0,7.0,128.0,at,220.0,220.0,220.0,1.0,1.0
520302,en_3,1.0,7.0,129.0,"marriages,",143.0,143.0,143.0,1.0,1.0
520303,en_3,1.0,7.0,130.0,"deaths,",154.0,304.0,304.0,2.0,2.0
520304,en_3,1.0,7.0,131.0,and,0.0,0.0,0.0,0.0,0.0
520305,en_3,1.0,7.0,132.0,other,192.0,192.0,192.0,1.0,1.0
