,uniform_id,trialid,sentnum,ianum,ia,firstfix_dur,firstrun_dur,dur,firstrun_nfix,nfix
538141,en_26,1.0,1.0,1.0,In,20.0,20.0,20.0,1.0,1.0
538142,en_26,1.0,1.0,2.0,ancient,196.0,462.0,884.0,2.0,4.0
538143,en_26,1.0,1.0,3.0,Roman,204.0,204.0,450.0,1.0,2.0
538144,en_26,1.0,1.0,4.0,religion,276.0,473.0,716.0,2.0,3.0
538145,en_26,1.0,1.0,5.0,and,321.0,321.0,321.0,1.0,1.0
538146,en_26,1.0,1.0,6.0,"myth,",379.0,379.0,701.0,1.0,2.0
538147,en_26,1.0,1.0,7.0,Janus,302.0,753.0,1449.0,2.0,5.0
538148,en_26,1.0,1.0,8.0,is,200.0,200.0,200.0,1.0,1.0
538149,en_26,1.0,1.0,9.0,the,200.0,200.0,532.0,1.0,3.0
538150,en_26,1.0,1.0,10.0,god,151.0,151.0,151.0,1.0,1.0
538151,en_26,1.0,1.0,11.0,of,213.0,213.0,213.0,1.0,1.0
538152,en_26,1.0,1.0,12.0,beginnings,172.0,172.0,2124.0,1.0,9.0
538153,en_26,1.0,1.0,13.0,and,228.0,228.0,866.0,1.0,4.0
538154,en_26,1.0,1.0,14.0,gates.,183.0,183.0,536.0,1.0,3.0
538155,en_26,1.0,2.0,15.0,He,213.0,213.0,213.0,1.0,1.0
538156,en_26,1.0,2.0,16.0,has,215.0,215.0,424.0,1.0,2.0
538157,en_26,1.0,2.0,17.0,a,0.0,0.0,0.0,0.0,0.0
538158,en_26,1.0,2.0,18.0,double,0.0,0.0,0.0,0.0,0.0
538159,en_26,1.0,2.0,19.0,nature,0.0,0.0,0.0,0.0,0.0
538160,en_26,1.0,2.0,20.0,and,0.0,0.0,0.0,0.0,0.0
538161,en_26,1.0,2.0,21.0,is,0.0,0.0,0.0,0.0,0.0
538162,en_26,1.0,2.0,22.0,usually,451.0,451.0,775.0,1.0,3.0
538163,en_26,1.0,2.0,23.0,depicted,148.0,148.0,817.0,1.0,4.0
538164,en_26,1.0,2.0,24.0,as,418.0,418.0,810.0,1.0,3.0
538165,en_26,1.0,2.0,25.0,having,257.0,530.0,985.0,2.0,4.0
538166,en_26,1.0,2.0,26.0,two,518.0,518.0,518.0,1.0,1.0
538167,en_26,1.0,2.0,27.0,"faces,",276.0,276.0,276.0,1.0,1.0
538168,en_26,1.0,2.0,28.0,since,226.0,226.0,885.0,1.0,4.0
538169,en_26,1.0,2.0,29.0,he,175.0,175.0,305.0,1.0,2.0
538170,en_26,1.0,2.0,30.0,looks,285.0,772.0,917.0,2.0,3.0
538171,en_26,1.0,2.0,31.0,to,0.0,0.0,0.0,0.0,0.0
