,uniform_id,trialid,sentnum,ianum,ia,firstfix_dur,firstrun_dur,dur,firstrun_nfix,nfix
550021,en_49,2.0,1.0,1.0,The,145.0,145.0,145.0,1.0,1.0
550022,en_49,2.0,1.0,2.0,shaka,449.0,449.0,912.0,1.0,2.0
550023,en_49,2.0,1.0,3.0,"sign,",157.0,157.0,157.0,1.0,1.0
550024,en_49,2.0,1.0,4.0,sometimes,165.0,165.0,403.0,1.0,2.0
550025,en_49,2.0,1.0,5.0,known,193.0,193.0,347.0,1.0,2.0
550026,en_49,2.0,1.0,6.0,as,0.0,0.0,0.0,0.0,0.0
550027,en_49,2.0,1.0,7.0,"""hang",281.0,281.0,576.0,1.0,3.0
550028,en_49,2.0,1.0,8.0,"loose"",",284.0,284.0,284.0,1.0,1.0
550029,en_49,2.0,1.0,9.0,is,192.0,192.0,396.0,1.0,2.0
550030,en_49,2.0,1.0,10.0,a,0.0,0.0,0.0,0.0,0.0
550031,en_49,2.0,1.0,11.0,gesture,207.0,207.0,666.0,1.0,4.0
550032,en_49,2.0,1.0,12.0,of,183.0,183.0,355.0,1.0,2.0
550033,en_49,2.0,1.0,13.0,friendly,173.0,173.0,377.0,1.0,2.0
550034,en_49,2.0,1.0,14.0,intent,195.0,195.0,393.0,1.0,2.0
550035,en_49,2.0,1.0,15.0,often,174.0,174.0,385.0,1.0,2.0
550036,en_49,2.0,1.0,16.0,associated,0.0,0.0,0.0,0.0,0.0
550037,en_49,2.0,1.0,17.0,with,155.0,155.0,155.0,1.0,1.0
550038,en_49,2.0,1.0,18.0,Hawaii,132.0,277.0,277.0,2.0,2.0
550039,en_49,2.0,1.0,19.0,and,0.0,0.0,0.0,0.0,0.0
550040,en_49,2.0,1.0,20.0,surf,360.0,360.0,360.0,1.0,1.0
550041,en_49,2.0,1.0,21.0,culture.,120.0,120.0,120.0,1.0,1.0
550042,en_49,2.0,2.0,22.0,The,146.0,146.0,146.0,1.0,1.0
550043,en_49,2.0,2.0,23.0,gesture,178.0,178.0,178.0,1.0,1.0
550044,en_49,2.0,2.0,24.0,is,184.0,184.0,184.0,1.0,1.0
550045,en_49,2.0,2.0,25.0,made,0.0,0.0,0.0,0.0,0.0
550046,en_49,2.0,2.0,26.0,by,217.0,217.0,217.0,1.0,1.0
550047,en_49,2.0,2.0,27.0,extending,0.0,0.0,0.0,0.0,0.0
550048,en_49,2.0,2.0,28.0,the,150.0,150.0,150.0,1.0,1.0
550049,en_49,2.0,2.0,29.0,thumb,168.0,168.0,168.0,1.0,1.0
550050,en_49,2.0,2.0,30.0,and,0.0,0.0,0.0,0.0,0.0
550051,en_49,2.0,2.0,31.0,smallest,175.0,345.0,345.0,2.0,2.0
550052,en_49,2.0,2.0,32.0,finger,0.0,0.0,0.0,0.0,0.0
550053,en_49,2.0,2.0,33.0,while,161.0,314.0,314.0,2.0,2.0
550054,en_49,2.0,2.0,34.0,holding,0.0,0.0,0.0,0.0,0.0
550055,en_49,2.0,2.0,35.0,the,305.0,305.0,305.0,1.0,1.0
550056,en_49,2.0,2.0,36.0,three,0.0,0.0,0.0,0.0,0.0
550057,en_49,2.0,2.0,37.0,middle,0.0,0.0,0.0,0.0,0.0
550058,en_49,2.0,2.0,38.0,fingers,140.0,344.0,344.0,2.0,2.0
550059,en_49,2.0,2.0,39.0,curled,0.0,0.0,0.0,0.0,0.0
550060,en_49,2.0,2.0,40.0,and,93.0,93.0,254.0,1.0,2.0
550061,en_49,2.0,2.0,41.0,gesturing,158.0,158.0,158.0,1.0,1.0
550062,en_49,2.0,2.0,42.0,in,0.0,0.0,0.0,0.0,0.0
550063,en_49,2.0,2.0,43.0,salutation,288.0,800.0,800.0,3.0,3.0
550064,en_49,2.0,2.0,44.0,while,173.0,173.0,173.0,1.0,1.0
550065,en_49,2.0,2.0,45.0,presenting,143.0,143.0,143.0,1.0,1.0
550066,en_49,2.0,2.0,46.0,the,0.0,0.0,0.0,0.0,0.0
550067,en_49,2.0,2.0,47.0,front,222.0,222.0,493.0,1.0,2.0
550068,en_49,2.0,2.0,48.0,or,175.0,175.0,320.0,1.0,2.0
550069,en_49,2.0,2.0,49.0,back,0.0,0.0,0.0,0.0,0.0
550070,en_49,2.0,2.0,50.0,of,350.0,350.0,350.0,1.0,1.0
550071,en_49,2.0,2.0,51.0,the,0.0,0.0,0.0,0.0,0.0
550072,en_49,2.0,2.0,52.0,hand;,151.0,151.0,151.0,1.0,1.0
550073,en_49,2.0,3.0,53.0,the,202.0,202.0,202.0,1.0,1.0
550074,en_49,2.0,3.0,54.0,hand,0.0,0.0,0.0,0.0,0.0
550075,en_49,2.0,3.0,55.0,may,0.0,0.0,0.0,0.0,0.0
550076,en_49,2.0,3.0,56.0,be,0.0,0.0,0.0,0.0,0.0
550077,en_49,2.0,3.0,57.0,rotated,0.0,0.0,0.0,0.0,0.0
550078,en_49,2.0,3.0,58.0,back,0.0,0.0,0.0,0.0,0.0
550079,en_49,2.0,3.0,59.0,and,140.0,514.0,514.0,2.0,2.0
550080,en_49,2.0,3.0,60.0,forth,325.0,325.0,325.0,1.0,1.0
550081,en_49,2.0,3.0,61.0,for,0.0,0.0,0.0,0.0,0.0
550082,en_49,2.0,3.0,62.0,emphasis.,268.0,1073.0,1073.0,5.0,5.0
550083,en_49,2.0,4.0,63.0,The,0.0,0.0,0.0,0.0,0.0
550084,en_49,2.0,4.0,64.0,shaka,0.0,0.0,0.0,0.0,0.0
550085,en_49,2.0,4.0,65.0,sign,341.0,341.0,341.0,1.0,1.0
550086,en_49,2.0,4.0,66.0,was,203.0,203.0,203.0,1.0,1.0
550087,en_49,2.0,4.0,67.0,adopted,213.0,523.0,523.0,3.0,3.0
550088,en_49,2.0,4.0,68.0,from,203.0,203.0,203.0,1.0,1.0
550089,en_49,2.0,4.0,69.0,local,204.0,204.0,204.0,1.0,1.0
550090,en_49,2.0,4.0,70.0,Hawaiian,189.0,189.0,189.0,1.0,1.0
550091,en_49,2.0,4.0,71.0,culture,0.0,0.0,0.0,0.0,0.0
550092,en_49,2.0,4.0,72.0,and,228.0,228.0,228.0,1.0,1.0
550093,en_49,2.0,4.0,73.0,customs,178.0,301.0,301.0,2.0,2.0
550094,en_49,2.0,4.0,74.0,by,0.0,0.0,0.0,0.0,0.0
550095,en_49,2.0,4.0,75.0,visiting,0.0,0.0,0.0,0.0,0.0
550096,en_49,2.0,4.0,76.0,surfers,375.0,375.0,375.0,1.0,1.0
550097,en_49,2.0,4.0,77.0,in,0.0,0.0,0.0,0.0,0.0
550098,en_49,2.0,4.0,78.0,the,261.0,261.0,261.0,1.0,1.0
550099,en_49,2.0,4.0,79.0,"1960s,",0.0,0.0,0.0,0.0,0.0
550100,en_49,2.0,4.0,80.0,and,167.0,597.0,597.0,3.0,3.0
550101,en_49,2.0,4.0,81.0,its,0.0,0.0,0.0,0.0,0.0
550102,en_49,2.0,4.0,82.0,use,281.0,281.0,281.0,1.0,1.0
550103,en_49,2.0,4.0,83.0,has,266.0,266.0,266.0,1.0,1.0
550104,en_49,2.0,4.0,84.0,spread,174.0,689.0,689.0,3.0,3.0
550105,en_49,2.0,4.0,85.0,around,0.0,0.0,0.0,0.0,0.0
550106,en_49,2.0,4.0,86.0,the,0.0,0.0,0.0,0.0,0.0
550107,en_49,2.0,4.0,87.0,world.,184.0,184.0,184.0,1.0,1.0
550108,en_49,2.0,5.0,88.0,It,0.0,0.0,0.0,0.0,0.0
550109,en_49,2.0,5.0,89.0,is,0.0,0.0,0.0,0.0,0.0
550110,en_49,2.0,5.0,90.0,primarily,161.0,161.0,161.0,1.0,1.0
550111,en_49,2.0,5.0,91.0,used,164.0,164.0,164.0,1.0,1.0
550112,en_49,2.0,5.0,92.0,as,0.0,0.0,0.0,0.0,0.0
550113,en_49,2.0,5.0,93.0,a,0.0,0.0,0.0,0.0,0.0
550114,en_49,2.0,5.0,94.0,greeting,139.0,308.0,308.0,2.0,2.0
550115,en_49,2.0,5.0,95.0,gesture,0.0,0.0,0.0,0.0,0.0
550116,en_49,2.0,5.0,96.0,or,0.0,0.0,0.0,0.0,0.0
550117,en_49,2.0,5.0,97.0,to,0.0,0.0,0.0,0.0,0.0
550118,en_49,2.0,5.0,98.0,express,123.0,265.0,265.0,2.0,2.0
550119,en_49,2.0,5.0,99.0,"thanks,",170.0,170.0,170.0,1.0,1.0
550120,en_49,2.0,5.0,100.0,"acknowledgement,",158.0,347.0,347.0,2.0,2.0
550121,en_49,2.0,5.0,101.0,or,482.0,482.0,747.0,1.0,2.0
550122,en_49,2.0,5.0,102.0,even,0.0,0.0,0.0,0.0,0.0
550123,en_49,2.0,5.0,103.0,praise,0.0,0.0,0.0,0.0,0.0
550124,en_49,2.0,5.0,104.0,from,200.0,200.0,200.0,1.0,1.0
550125,en_49,2.0,5.0,105.0,one,213.0,213.0,213.0,1.0,1.0
550126,en_49,2.0,5.0,106.0,individual,0.0,0.0,0.0,0.0,0.0
550127,en_49,2.0,5.0,107.0,to,233.0,233.0,529.0,1.0,2.0
550128,en_49,2.0,5.0,108.0,another.,138.0,138.0,301.0,1.0,2.0
550129,en_49,2.0,6.0,109.0,Residents,181.0,181.0,181.0,1.0,1.0
550130,en_49,2.0,6.0,110.0,of,0.0,0.0,0.0,0.0,0.0
550131,en_49,2.0,6.0,111.0,Hawaii,524.0,524.0,524.0,1.0,1.0
550132,en_49,2.0,6.0,112.0,use,181.0,181.0,181.0,1.0,1.0
550133,en_49,2.0,6.0,113.0,the,0.0,0.0,0.0,0.0,0.0
550134,en_49,2.0,6.0,114.0,shaka,0.0,0.0,0.0,0.0,0.0
550135,en_49,2.0,6.0,115.0,to,0.0,0.0,0.0,0.0,0.0
550136,en_49,2.0,6.0,116.0,convey,133.0,355.0,355.0,2.0,2.0
550137,en_49,2.0,6.0,117.0,the,97.0,97.0,262.0,1.0,2.0
550138,en_49,2.0,6.0,118.0,"""Aloha",190.0,190.0,190.0,1.0,1.0
550139,en_49,2.0,6.0,119.0,"Spirit"":",391.0,391.0,391.0,1.0,1.0
550140,en_49,2.0,6.0,120.0,a,290.0,290.0,290.0,1.0,1.0
550141,en_49,2.0,6.0,121.0,concept,269.0,269.0,269.0,1.0,1.0
550142,en_49,2.0,6.0,122.0,of,175.0,175.0,175.0,1.0,1.0
550143,en_49,2.0,6.0,123.0,"friendship,",211.0,211.0,836.0,1.0,4.0
550144,en_49,2.0,6.0,124.0,"understanding,",183.0,183.0,644.0,1.0,3.0
550145,en_49,2.0,6.0,125.0,"compassion,",216.0,216.0,481.0,1.0,2.0
550146,en_49,2.0,6.0,126.0,and,187.0,187.0,447.0,1.0,2.0
550147,en_49,2.0,6.0,127.0,solidarity,191.0,191.0,191.0,1.0,1.0
550148,en_49,2.0,6.0,128.0,among,175.0,305.0,305.0,2.0,2.0
550149,en_49,2.0,6.0,129.0,the,0.0,0.0,0.0,0.0,0.0
550150,en_49,2.0,6.0,130.0,various,0.0,0.0,0.0,0.0,0.0
550151,en_49,2.0,6.0,131.0,ethnic,279.0,279.0,279.0,1.0,1.0
550152,en_49,2.0,6.0,132.0,cultures,142.0,142.0,377.0,1.0,2.0
550153,en_49,2.0,6.0,133.0,that,201.0,201.0,201.0,1.0,1.0
550154,en_49,2.0,6.0,134.0,reside,215.0,215.0,215.0,1.0,1.0
550155,en_49,2.0,6.0,135.0,in,0.0,0.0,0.0,0.0,0.0
550156,en_49,2.0,6.0,136.0,Hawaii.,182.0,182.0,331.0,1.0,2.0
550157,en_49,2.0,7.0,137.0,While,201.0,201.0,250.0,1.0,2.0
550158,en_49,2.0,7.0,138.0,the,182.0,182.0,182.0,1.0,1.0
550159,en_49,2.0,7.0,139.0,exact,0.0,0.0,0.0,0.0,0.0
550160,en_49,2.0,7.0,140.0,origin,158.0,158.0,158.0,1.0,1.0
550161,en_49,2.0,7.0,141.0,of,143.0,143.0,143.0,1.0,1.0
550162,en_49,2.0,7.0,142.0,the,226.0,226.0,226.0,1.0,1.0
550163,en_49,2.0,7.0,143.0,sign,0.0,0.0,0.0,0.0,0.0
550164,en_49,2.0,7.0,144.0,is,205.0,205.0,205.0,1.0,1.0
550165,en_49,2.0,7.0,145.0,"unclear,",197.0,197.0,197.0,1.0,1.0
550166,en_49,2.0,7.0,146.0,some,0.0,0.0,0.0,0.0,0.0
550167,en_49,2.0,7.0,147.0,have,228.0,228.0,228.0,1.0,1.0
550168,en_49,2.0,7.0,148.0,suggested,192.0,192.0,192.0,1.0,1.0
550169,en_49,2.0,7.0,149.0,its,0.0,0.0,0.0,0.0,0.0
550170,en_49,2.0,7.0,150.0,origin,0.0,0.0,0.0,0.0,0.0
550171,en_49,2.0,7.0,151.0,was,228.0,228.0,228.0,1.0,1.0
550172,en_49,2.0,7.0,152.0,derived,99.0,99.0,303.0,1.0,2.0
550173,en_49,2.0,7.0,153.0,from,0.0,0.0,0.0,0.0,0.0
550174,en_49,2.0,7.0,154.0,Spanish,179.0,179.0,179.0,1.0,1.0
550175,en_49,2.0,7.0,155.0,"immigrants,",0.0,0.0,0.0,0.0,0.0
550176,en_49,2.0,7.0,156.0,who,0.0,0.0,0.0,0.0,0.0
550177,en_49,2.0,7.0,157.0,folded,0.0,0.0,0.0,0.0,0.0
550178,en_49,2.0,7.0,158.0,their,0.0,0.0,0.0,0.0,0.0
550179,en_49,2.0,7.0,159.0,middle,206.0,206.0,206.0,1.0,1.0
550180,en_49,2.0,7.0,160.0,fingers,208.0,208.0,386.0,1.0,2.0
550181,en_49,2.0,7.0,161.0,and,0.0,0.0,0.0,0.0,0.0
550182,en_49,2.0,7.0,162.0,took,496.0,496.0,647.0,1.0,2.0
550183,en_49,2.0,7.0,163.0,their,227.0,227.0,227.0,1.0,1.0
550184,en_49,2.0,7.0,164.0,thumbs,221.0,660.0,1176.0,2.0,5.0
550185,en_49,2.0,7.0,165.0,to,143.0,143.0,143.0,1.0,1.0
550186,en_49,2.0,7.0,166.0,their,89.0,251.0,251.0,2.0,2.0
550187,en_49,2.0,7.0,167.0,lips,0.0,0.0,0.0,0.0,0.0
550188,en_49,2.0,7.0,168.0,as,0.0,0.0,0.0,0.0,0.0
550189,en_49,2.0,7.0,169.0,a,0.0,0.0,0.0,0.0,0.0
550190,en_49,2.0,7.0,170.0,friendly,125.0,627.0,1105.0,2.0,4.0
550191,en_49,2.0,7.0,171.0,gesture,173.0,173.0,173.0,1.0,1.0
550192,en_49,2.0,7.0,172.0,to,167.0,167.0,167.0,1.0,1.0
550193,en_49,2.0,7.0,173.0,represent,165.0,165.0,165.0,1.0,1.0
550194,en_49,2.0,7.0,174.0,sharing,187.0,187.0,187.0,1.0,1.0
550195,en_49,2.0,7.0,175.0,a,193.0,193.0,409.0,1.0,2.0
550196,en_49,2.0,7.0,176.0,drink,0.0,0.0,0.0,0.0,0.0
550197,en_49,2.0,7.0,177.0,with,0.0,0.0,0.0,0.0,0.0
550198,en_49,2.0,7.0,178.0,the,163.0,163.0,163.0,1.0,1.0
550199,en_49,2.0,7.0,179.0,natives,146.0,146.0,294.0,1.0,2.0
550200,en_49,2.0,7.0,180.0,they,208.0,208.0,208.0,1.0,1.0
550201,en_49,2.0,7.0,181.0,met,0.0,0.0,0.0,0.0,0.0
550202,en_49,2.0,7.0,182.0,in,195.0,195.0,365.0,1.0,2.0
550203,en_49,2.0,7.0,183.0,Hawaii.,307.0,307.0,1300.0,1.0,4.0
550204,en_49,5.0,1.0,1.0,World,135.0,135.0,135.0,1.0,1.0
550205,en_49,5.0,1.0,2.0,Environment,336.0,336.0,336.0,1.0,1.0
550206,en_49,5.0,1.0,3.0,Day,228.0,228.0,228.0,1.0,1.0
550207,en_49,5.0,1.0,4.0,(WED),171.0,171.0,171.0,1.0,1.0
550208,en_49,5.0,1.0,5.0,is,0.0,0.0,0.0,0.0,0.0
550209,en_49,5.0,1.0,6.0,celebrated,382.0,382.0,382.0,1.0,1.0
550210,en_49,5.0,1.0,7.0,on,0.0,0.0,0.0,0.0,0.0
550211,en_49,5.0,1.0,8.0,the,221.0,221.0,221.0,1.0,1.0
550212,en_49,5.0,1.0,9.0,fifth,0.0,0.0,0.0,0.0,0.0
550213,en_49,5.0,1.0,10.0,of,0.0,0.0,0.0,0.0,0.0
550214,en_49,5.0,1.0,11.0,June,228.0,228.0,228.0,1.0,1.0
550215,en_49,5.0,1.0,12.0,every,190.0,190.0,190.0,1.0,1.0
550216,en_49,5.0,1.0,13.0,year,0.0,0.0,0.0,0.0,0.0
550217,en_49,5.0,1.0,14.0,and,0.0,0.0,0.0,0.0,0.0
550218,en_49,5.0,1.0,15.0,is,0.0,0.0,0.0,0.0,0.0
550219,en_49,5.0,1.0,16.0,the,0.0,0.0,0.0,0.0,0.0
550220,en_49,5.0,1.0,17.0,United,0.0,0.0,0.0,0.0,0.0
550221,en_49,5.0,1.0,18.0,Nation's,141.0,141.0,141.0,1.0,1.0
550222,en_49,5.0,1.0,19.0,principal,130.0,130.0,130.0,1.0,1.0
550223,en_49,5.0,1.0,20.0,vehicle,100.0,289.0,289.0,2.0,2.0
550224,en_49,5.0,1.0,21.0,for,133.0,288.0,288.0,2.0,2.0
550225,en_49,5.0,1.0,22.0,encouraging,184.0,184.0,367.0,1.0,2.0
550226,en_49,5.0,1.0,23.0,awareness,255.0,255.0,431.0,1.0,2.0
550227,en_49,5.0,1.0,24.0,and,0.0,0.0,0.0,0.0,0.0
550228,en_49,5.0,1.0,25.0,action,146.0,146.0,146.0,1.0,1.0
550229,en_49,5.0,1.0,26.0,for,0.0,0.0,0.0,0.0,0.0
550230,en_49,5.0,1.0,27.0,the,0.0,0.0,0.0,0.0,0.0
550231,en_49,5.0,1.0,28.0,protection,172.0,172.0,172.0,1.0,1.0
550232,en_49,5.0,1.0,29.0,of,0.0,0.0,0.0,0.0,0.0
550233,en_49,5.0,1.0,30.0,the,217.0,217.0,217.0,1.0,1.0
550234,en_49,5.0,1.0,31.0,environment.,165.0,165.0,165.0,1.0,1.0
550235,en_49,5.0,2.0,32.0,First,118.0,118.0,271.0,1.0,2.0
550236,en_49,5.0,2.0,33.0,held,157.0,157.0,429.0,1.0,3.0
550237,en_49,5.0,2.0,34.0,in,0.0,0.0,0.0,0.0,0.0
550238,en_49,5.0,2.0,35.0,"1974,",0.0,0.0,0.0,0.0,0.0
550239,en_49,5.0,2.0,36.0,it,0.0,0.0,0.0,0.0,0.0
550240,en_49,5.0,2.0,37.0,has,0.0,0.0,0.0,0.0,0.0
550241,en_49,5.0,2.0,38.0,been,0.0,0.0,0.0,0.0,0.0
550242,en_49,5.0,2.0,39.0,a,315.0,315.0,315.0,1.0,1.0
550243,en_49,5.0,2.0,40.0,flagship,0.0,0.0,0.0,0.0,0.0
550244,en_49,5.0,2.0,41.0,campaign,149.0,281.0,281.0,2.0,2.0
