,uniform_id,trialid,sentnum,ianum,ia,firstfix_dur,firstrun_dur,dur,firstrun_nfix,nfix
530549,en_11,3.0,1.0,1.0,In,0.0,0.0,0.0,0.0,0.0
530550,en_11,3.0,1.0,2.0,competitive,199.0,1177.0,1177.0,5.0,5.0
530551,en_11,3.0,1.0,3.0,"sports,",255.0,255.0,384.0,1.0,2.0
530552,en_11,3.0,1.0,4.0,doping,198.0,198.0,434.0,1.0,2.0
530553,en_11,3.0,1.0,5.0,is,342.0,342.0,342.0,1.0,1.0
530554,en_11,3.0,1.0,6.0,the,0.0,0.0,0.0,0.0,0.0
530555,en_11,3.0,1.0,7.0,use,264.0,264.0,264.0,1.0,1.0
530556,en_11,3.0,1.0,8.0,of,0.0,0.0,0.0,0.0,0.0
530557,en_11,3.0,1.0,9.0,banned,219.0,219.0,219.0,1.0,1.0
530558,en_11,3.0,1.0,10.0,performance-,282.0,282.0,282.0,1.0,1.0
530559,en_11,3.0,1.0,11.0,enhancing,260.0,260.0,260.0,1.0,1.0
530560,en_11,3.0,1.0,12.0,drugs,249.0,249.0,249.0,1.0,1.0
530561,en_11,3.0,1.0,13.0,by,256.0,256.0,256.0,1.0,1.0
530562,en_11,3.0,1.0,14.0,athletic,234.0,234.0,234.0,1.0,1.0
530563,en_11,3.0,1.0,15.0,competitors.,0.0,0.0,0.0,0.0,0.0
530564,en_11,3.0,2.0,16.0,The,0.0,0.0,0.0,0.0,0.0
530565,en_11,3.0,2.0,17.0,term,0.0,0.0,0.0,0.0,0.0
530566,en_11,3.0,2.0,18.0,doping,196.0,196.0,196.0,1.0,1.0
530567,en_11,3.0,2.0,19.0,is,142.0,142.0,142.0,1.0,1.0
530568,en_11,3.0,2.0,20.0,widely,226.0,226.0,226.0,1.0,1.0
530569,en_11,3.0,2.0,21.0,used,360.0,360.0,360.0,1.0,1.0
530570,en_11,3.0,2.0,22.0,by,0.0,0.0,0.0,0.0,0.0
530571,en_11,3.0,2.0,23.0,organizations,174.0,174.0,804.0,1.0,4.0
530572,en_11,3.0,2.0,24.0,which,235.0,371.0,371.0,2.0,2.0
530573,en_11,3.0,2.0,25.0,regulate,183.0,183.0,625.0,1.0,3.0
530574,en_11,3.0,2.0,26.0,sporting,230.0,230.0,488.0,1.0,2.0
530575,en_11,3.0,2.0,27.0,competitions.,289.0,289.0,289.0,1.0,1.0
530576,en_11,3.0,3.0,28.0,The,0.0,0.0,0.0,0.0,0.0
530577,en_11,3.0,3.0,29.0,use,0.0,0.0,0.0,0.0,0.0
530578,en_11,3.0,3.0,30.0,of,0.0,0.0,0.0,0.0,0.0
530579,en_11,3.0,3.0,31.0,drugs,184.0,184.0,184.0,1.0,1.0
530580,en_11,3.0,3.0,32.0,to,0.0,0.0,0.0,0.0,0.0
530581,en_11,3.0,3.0,33.0,enhance,125.0,437.0,437.0,2.0,2.0
530582,en_11,3.0,3.0,34.0,performance,157.0,157.0,905.0,1.0,4.0
530583,en_11,3.0,3.0,35.0,is,202.0,202.0,202.0,1.0,1.0
530584,en_11,3.0,3.0,36.0,largely,125.0,289.0,524.0,2.0,3.0
530585,en_11,3.0,3.0,37.0,considered,426.0,426.0,618.0,1.0,2.0
530586,en_11,3.0,3.0,38.0,"unethical,",280.0,280.0,280.0,1.0,1.0
530587,en_11,3.0,3.0,39.0,and,218.0,218.0,218.0,1.0,1.0
530588,en_11,3.0,3.0,40.0,is,0.0,0.0,0.0,0.0,0.0
530589,en_11,3.0,3.0,41.0,therefore,168.0,168.0,168.0,1.0,1.0
530590,en_11,3.0,3.0,42.0,prohibited,256.0,460.0,460.0,2.0,2.0
530591,en_11,3.0,3.0,43.0,by,312.0,312.0,312.0,1.0,1.0
530592,en_11,3.0,3.0,44.0,most,0.0,0.0,0.0,0.0,0.0
530593,en_11,3.0,3.0,45.0,international,564.0,1305.0,2266.0,4.0,6.0
530594,en_11,3.0,3.0,46.0,sports,0.0,0.0,0.0,0.0,0.0
530595,en_11,3.0,3.0,47.0,"organizations,",285.0,452.0,452.0,2.0,2.0
530596,en_11,3.0,3.0,48.0,including,101.0,101.0,101.0,1.0,1.0
530597,en_11,3.0,3.0,49.0,the,0.0,0.0,0.0,0.0,0.0
530598,en_11,3.0,3.0,50.0,International,231.0,707.0,707.0,3.0,3.0
530599,en_11,3.0,3.0,51.0,Olympic,162.0,162.0,162.0,1.0,1.0
530600,en_11,3.0,3.0,52.0,Committee.,719.0,889.0,889.0,2.0,2.0
530601,en_11,3.0,4.0,53.0,"Furthermore,",402.0,599.0,981.0,2.0,4.0
530602,en_11,3.0,4.0,54.0,athletes,207.0,207.0,373.0,1.0,2.0
530603,en_11,3.0,4.0,55.0,who,239.0,239.0,558.0,1.0,2.0
530604,en_11,3.0,4.0,56.0,take,232.0,232.0,757.0,1.0,2.0
530605,en_11,3.0,4.0,57.0,explicit,194.0,194.0,446.0,1.0,2.0
530606,en_11,3.0,4.0,58.0,measures,0.0,0.0,0.0,0.0,0.0
530607,en_11,3.0,4.0,59.0,to,0.0,0.0,0.0,0.0,0.0
530608,en_11,3.0,4.0,60.0,evade,367.0,532.0,757.0,2.0,3.0
530609,en_11,3.0,4.0,61.0,detection,161.0,389.0,839.0,2.0,4.0
530610,en_11,3.0,4.0,62.0,exacerbate,277.0,1199.0,1199.0,5.0,5.0
530611,en_11,3.0,4.0,63.0,the,0.0,0.0,0.0,0.0,0.0
530612,en_11,3.0,4.0,64.0,ethical,219.0,219.0,578.0,1.0,3.0
530613,en_11,3.0,4.0,65.0,violation,176.0,176.0,176.0,1.0,1.0
530614,en_11,3.0,4.0,66.0,with,0.0,0.0,0.0,0.0,0.0
530615,en_11,3.0,4.0,67.0,overt,330.0,330.0,330.0,1.0,1.0
530616,en_11,3.0,4.0,68.0,deception,0.0,0.0,0.0,0.0,0.0
530617,en_11,3.0,4.0,69.0,and,0.0,0.0,0.0,0.0,0.0
530618,en_11,3.0,4.0,70.0,cheating.,415.0,415.0,415.0,1.0,1.0
530619,en_11,3.0,5.0,71.0,Despite,59.0,208.0,208.0,2.0,2.0
530620,en_11,3.0,5.0,72.0,its,179.0,179.0,595.0,1.0,2.0
530621,en_11,3.0,5.0,73.0,prevalence,243.0,243.0,666.0,1.0,3.0
530622,en_11,3.0,5.0,74.0,in,147.0,147.0,347.0,1.0,2.0
530623,en_11,3.0,5.0,75.0,the,0.0,0.0,0.0,0.0,0.0
530624,en_11,3.0,5.0,76.0,headlines,366.0,366.0,366.0,1.0,1.0
530625,en_11,3.0,5.0,77.0,"recently,",328.0,328.0,328.0,1.0,1.0
530626,en_11,3.0,5.0,78.0,doping,185.0,185.0,185.0,1.0,1.0
530627,en_11,3.0,5.0,79.0,is,313.0,313.0,313.0,1.0,1.0
530628,en_11,3.0,5.0,80.0,not,0.0,0.0,0.0,0.0,0.0
530629,en_11,3.0,5.0,81.0,a,0.0,0.0,0.0,0.0,0.0
530630,en_11,3.0,5.0,82.0,new,0.0,0.0,0.0,0.0,0.0
530631,en_11,3.0,5.0,83.0,phenomenon;,0.0,0.0,0.0,0.0,0.0
530632,en_11,3.0,6.0,84.0,in,0.0,0.0,0.0,0.0,0.0
530633,en_11,3.0,6.0,85.0,"fact,",0.0,0.0,0.0,0.0,0.0
530634,en_11,3.0,6.0,86.0,it,206.0,206.0,206.0,1.0,1.0
530635,en_11,3.0,6.0,87.0,is,0.0,0.0,0.0,0.0,0.0
530636,en_11,3.0,6.0,88.0,as,163.0,163.0,415.0,1.0,2.0
530637,en_11,3.0,6.0,89.0,old,186.0,186.0,186.0,1.0,1.0
530638,en_11,3.0,6.0,90.0,as,283.0,283.0,416.0,1.0,2.0
530639,en_11,3.0,6.0,91.0,sport,233.0,384.0,384.0,2.0,2.0
530640,en_11,3.0,6.0,92.0,itself.,0.0,0.0,0.0,0.0,0.0
530641,en_11,3.0,7.0,93.0,From,231.0,231.0,231.0,1.0,1.0
530642,en_11,3.0,7.0,94.0,the,0.0,0.0,0.0,0.0,0.0
530643,en_11,3.0,7.0,95.0,use,290.0,290.0,290.0,1.0,1.0
530644,en_11,3.0,7.0,96.0,of,0.0,0.0,0.0,0.0,0.0
530645,en_11,3.0,7.0,97.0,substances,286.0,286.0,286.0,1.0,1.0
530646,en_11,3.0,7.0,98.0,in,130.0,130.0,521.0,1.0,2.0
530647,en_11,3.0,7.0,99.0,ancient,0.0,0.0,0.0,0.0,0.0
530648,en_11,3.0,7.0,100.0,chariot,205.0,205.0,205.0,1.0,1.0
530649,en_11,3.0,7.0,101.0,races,178.0,435.0,435.0,2.0,2.0
530650,en_11,3.0,7.0,102.0,to,190.0,350.0,485.0,2.0,3.0
530651,en_11,3.0,7.0,103.0,more,323.0,497.0,497.0,2.0,2.0
530652,en_11,3.0,7.0,104.0,recent,0.0,0.0,0.0,0.0,0.0
530653,en_11,3.0,7.0,105.0,controversies,235.0,1245.0,1245.0,4.0,4.0
530654,en_11,3.0,7.0,106.0,in,163.0,163.0,163.0,1.0,1.0
530655,en_11,3.0,7.0,107.0,baseball,164.0,164.0,483.0,1.0,3.0
530656,en_11,3.0,7.0,108.0,and,165.0,165.0,165.0,1.0,1.0
530657,en_11,3.0,7.0,109.0,"cycling,",213.0,367.0,367.0,2.0,2.0
530658,en_11,3.0,7.0,110.0,popular,427.0,663.0,663.0,2.0,2.0
530659,en_11,3.0,7.0,111.0,views,203.0,203.0,203.0,1.0,1.0
530660,en_11,3.0,7.0,112.0,among,206.0,206.0,206.0,1.0,1.0
530661,en_11,3.0,7.0,113.0,athletes,177.0,320.0,320.0,2.0,2.0
530662,en_11,3.0,7.0,114.0,have,141.0,141.0,878.0,1.0,3.0
530663,en_11,3.0,7.0,115.0,varied,210.0,210.0,635.0,1.0,3.0
530664,en_11,3.0,7.0,116.0,widely,272.0,272.0,272.0,1.0,1.0
530665,en_11,3.0,7.0,117.0,over,373.0,373.0,373.0,1.0,1.0
530666,en_11,3.0,7.0,118.0,the,0.0,0.0,0.0,0.0,0.0
530667,en_11,3.0,7.0,119.0,years.,166.0,166.0,166.0,1.0,1.0
530668,en_11,3.0,8.0,120.0,In,467.0,467.0,467.0,1.0,1.0
530669,en_11,3.0,8.0,121.0,recent,137.0,137.0,137.0,1.0,1.0
530670,en_11,3.0,8.0,122.0,"decades,",193.0,193.0,193.0,1.0,1.0
530671,en_11,3.0,8.0,123.0,authorities,241.0,241.0,241.0,1.0,1.0
530672,en_11,3.0,8.0,124.0,and,0.0,0.0,0.0,0.0,0.0
530673,en_11,3.0,8.0,125.0,sporting,248.0,248.0,248.0,1.0,1.0
530674,en_11,3.0,8.0,126.0,organizations,277.0,503.0,503.0,2.0,2.0
530675,en_11,3.0,8.0,127.0,have,225.0,225.0,225.0,1.0,1.0
530676,en_11,3.0,8.0,128.0,tried,90.0,90.0,90.0,1.0,1.0
530677,en_11,3.0,8.0,129.0,to,0.0,0.0,0.0,0.0,0.0
530678,en_11,3.0,8.0,130.0,strictly,182.0,698.0,698.0,3.0,3.0
530679,en_11,3.0,8.0,131.0,regulate,179.0,179.0,179.0,1.0,1.0
530680,en_11,3.0,8.0,132.0,the,0.0,0.0,0.0,0.0,0.0
530681,en_11,3.0,8.0,133.0,use,316.0,316.0,316.0,1.0,1.0
530682,en_11,3.0,8.0,134.0,of,0.0,0.0,0.0,0.0,0.0
530683,en_11,3.0,8.0,135.0,drugs,165.0,165.0,165.0,1.0,1.0
530684,en_11,3.0,8.0,136.0,in,219.0,219.0,219.0,1.0,1.0
530685,en_11,3.0,8.0,137.0,sport.,355.0,355.0,630.0,1.0,2.0
530686,en_11,3.0,9.0,138.0,The,0.0,0.0,0.0,0.0,0.0
530687,en_11,3.0,9.0,139.0,primary,198.0,198.0,614.0,1.0,3.0
530688,en_11,3.0,9.0,140.0,reasons,610.0,817.0,817.0,2.0,2.0
530689,en_11,3.0,9.0,141.0,for,159.0,159.0,159.0,1.0,1.0
530690,en_11,3.0,9.0,142.0,this,0.0,0.0,0.0,0.0,0.0
530691,en_11,3.0,9.0,143.0,ban,253.0,253.0,656.0,1.0,3.0
530692,en_11,3.0,9.0,144.0,are,149.0,149.0,386.0,1.0,2.0
530693,en_11,3.0,9.0,145.0,the,129.0,129.0,370.0,1.0,2.0
530694,en_11,3.0,9.0,146.0,health,173.0,173.0,173.0,1.0,1.0
530695,en_11,3.0,9.0,147.0,risks,304.0,304.0,304.0,1.0,1.0
530696,en_11,3.0,9.0,148.0,of,224.0,224.0,224.0,1.0,1.0
530697,en_11,3.0,9.0,149.0,performance-,352.0,352.0,352.0,1.0,1.0
530698,en_11,3.0,9.0,150.0,enhancing,118.0,118.0,709.0,1.0,4.0
530699,en_11,3.0,9.0,151.0,"drugs,",328.0,328.0,328.0,1.0,1.0
530700,en_11,3.0,9.0,152.0,the,280.0,280.0,280.0,1.0,1.0
530701,en_11,3.0,9.0,153.0,equality,171.0,171.0,964.0,1.0,4.0
530702,en_11,3.0,9.0,154.0,of,546.0,546.0,546.0,1.0,1.0
530703,en_11,3.0,9.0,155.0,opportunity,205.0,360.0,360.0,2.0,2.0
530704,en_11,3.0,9.0,156.0,for,406.0,406.0,406.0,1.0,1.0
530705,en_11,3.0,9.0,157.0,"athletes,",198.0,198.0,198.0,1.0,1.0
530706,en_11,3.0,9.0,158.0,and,0.0,0.0,0.0,0.0,0.0
530707,en_11,3.0,9.0,159.0,the,209.0,209.0,209.0,1.0,1.0
530708,en_11,3.0,9.0,160.0,positive,191.0,546.0,546.0,3.0,3.0
530709,en_11,3.0,9.0,161.0,example,386.0,553.0,553.0,2.0,2.0
530710,en_11,3.0,9.0,162.0,to,0.0,0.0,0.0,0.0,0.0
530711,en_11,3.0,9.0,163.0,the,387.0,387.0,387.0,1.0,1.0
530712,en_11,3.0,9.0,164.0,public,234.0,404.0,404.0,2.0,2.0
530713,en_11,3.0,9.0,165.0,set,322.0,322.0,322.0,1.0,1.0
530714,en_11,3.0,9.0,166.0,by,210.0,210.0,210.0,1.0,1.0
530715,en_11,3.0,9.0,167.0,drug-,329.0,329.0,329.0,1.0,1.0
530716,en_11,3.0,9.0,168.0,free,120.0,120.0,120.0,1.0,1.0
530717,en_11,3.0,9.0,169.0,sport.,396.0,537.0,537.0,2.0,2.0
530718,en_11,3.0,10.0,170.0,Anti-,203.0,203.0,203.0,1.0,1.0
530719,en_11,3.0,10.0,171.0,doping,330.0,330.0,330.0,1.0,1.0
530720,en_11,3.0,10.0,172.0,authorities,281.0,281.0,281.0,1.0,1.0
530721,en_11,3.0,10.0,173.0,have,245.0,245.0,245.0,1.0,1.0
530722,en_11,3.0,10.0,174.0,repeatedly,233.0,233.0,233.0,1.0,1.0
530723,en_11,3.0,10.0,175.0,emphasized,235.0,421.0,421.0,2.0,2.0
530724,en_11,3.0,10.0,176.0,that,207.0,207.0,207.0,1.0,1.0
530725,en_11,3.0,10.0,177.0,using,157.0,339.0,339.0,2.0,2.0
530726,en_11,3.0,10.0,178.0,performance-,279.0,279.0,279.0,1.0,1.0
530727,en_11,3.0,10.0,179.0,enhancing,170.0,330.0,330.0,2.0,2.0
530728,en_11,3.0,10.0,180.0,drugs,117.0,117.0,117.0,1.0,1.0
530729,en_11,3.0,10.0,181.0,goes,0.0,0.0,0.0,0.0,0.0
530730,en_11,3.0,10.0,182.0,against,126.0,126.0,512.0,1.0,2.0
530731,en_11,3.0,10.0,183.0,the,143.0,143.0,143.0,1.0,1.0
530732,en_11,3.0,10.0,184.0,"""spirit",0.0,0.0,0.0,0.0,0.0
